Date,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
5/3/2022,USA,83170407,,1021089,,80757424,,1391894,1550,248601,3052,1006269592,3007793,334554103
5/3/2022,India,43085166,,523889,,42541887,,19390,698,30669,373,838628250,596961,1404828550
5/3/2022,Brazil,30460997,,663657,,29554308,,243032,8318,141466,3082,63776166,296187,215324039
5/3/2022,France,28690748,,146142,,27163913,146246,1380693,1511,437774,2230,269816888,4116967,65537780
5/3/2022,Germany,24791190,,135947,,22658600,189400,1996643,1446,294173,1613,122332384,1451601,84274119
5/3/2022,UK,22038340,,174912,,21313159,49031,550269,302,321547,2552,517337635,7548132,68538498
5/3/2022,Russia,18201074,5466,376292,125,17563272,7052,261510,2300,124623,2576,273400000,1871975,146048952
5/3/2022,S. Korea,17346753,51020,23007,49,,,,417,337815,448,15804065,307772,51349914
5/3/2022,Italy,16523859,,163736,,15155021,,1205102,368,274031,2715,214183728,3552018,60299169
5/3/2022,Turkey,15034917,,98791,,14931490,,4636,975,174826,1149,159230999,1851534,85999512
5/3/2022,Spain,11896152,,104456,,11389694,,402002,339,254257,2233,471036328,10067479,46787912
5/3/2022,Vietnam,10656649,,43044,,9265456,,1348149,475,107707,435,85800783,867191,98941036
5/3/2022,Argentina,9083673,,128653,,8895999,,59021,372,197666,2800,35716069,777204,45954590
5/3/2022,Netherlands,8051301,,22256,,7875672,,153373,70,467984,1294,21107399,1226872,17204241
5/3/2022,Japan,7925130,23197,29631,30,7517841,38420,377658,160,63014,236,48945912,389176,125768126
5/3/2022,Iran,7223005,,141114,,6989358,,92533,1038,84028,1642,50914586,592307,85959848
5/3/2022,Colombia,6092667,,139797,,5926476,,26394,342,117449,2695,34465052,664384,51875179
5/3/2022,Indonesia,6047208,,156287,,5883664,,7257,2771,21689,561,95693154,343213,278815543
5/3/2022,Australia,6029879,37731,7310,40,5658513,,364056,143,231551,281,69540042,2670385,26041202
5/3/2022,Poland,5997825,890,116069,14,5334769,33,546987,1321,158795,3073,36116043,956190,37770774
5/3/2022,Mexico,5740080,,324350,,5039624,,376106,4798,43680,2468,15801675,120246,131411221
5/3/2022,Ukraine,5002870,,108411,,,,,177,115665,2506,19521252,451326,43253122
5/3/2022,Malaysia,4450859,,35555,,4378864,,36440,66,134367,1073,58808233,1775360,33124688
5/3/2022,Thailand,4281536,9721,28781,77,4134191,20145,118564,1496,61060,410,17270775,246302,70120440
5/3/2022,Austria,4154244,5240,18183,13,4063754,8028,72307,80,456489,1998,183321889,20144324,9100424
5/3/2022,Israel,4080487,,10698,,4048807,,20982,220,437539,1147,41373364,4436346,9326000
5/3/2022,Belgium,4071279,,31494,,3839733,20124,200052,131,348511,2696,33643042,2879926,11681911
5/3/2022,Czechia,3907793,1680,40175,2,3855944,1966,11674,30,363674,3739,55226142,5139548,10745331
5/3/2022,Portugal,3853800,,22280,,,,,61,379972,2197,41336850,4075681,10142317
5/3/2022,South Africa,3798413,,100370,,3651665,,46378,192,62601,1654,24505584,403871,60676777
5/3/2022,Canada,3756272,,39292,,3459763,,257217,468,97953,1025,60943345,1589234,38347627
5/3/2022,Philippines,3686082,,60410,,3620369,,5303,289,32838,538,29599478,263694,112249444
5/3/2022,Switzerland,3602489,,13859,,3485200,8164,103430,87,410754,1580,20767523,2367903,8770428
5/3/2022,Peru,3566523,,212865,,,,,293,105481,6296,29886697,883904,33812147
5/3/2022,Chile,3562521,,57541,,3424634,,80346,209,183480,2964,37084042,1909930,19416438
5/3/2022,Greece,3331288,,29205,,3230438,,71645,235,322489,2827,79941425,7738826,10329916
5/3/2022,Denmark,2967388,,6183,,2944366,,16839,8,509028,1061,127233608,21825732,5829523
5/3/2022,Romania,2894896,,65496,,2606660,,222740,191,152339,3447,22725764,1195908,19002936
5/3/2022,Sweden,2500917,,18739,,2470701,,11477,21,244840,1835,18513445,1812469,10214488
5/3/2022,Iraq,2325247,,25211,,2298174,,1862,15,55531,602,18482865,441400,41873314
5/3/2022,Serbia,2007091,,16002,,1977662,,13427,21,231419,1845,9497175,1095029,8672986
5/3/2022,Bangladesh,1952726,,29127,,1896001,,27598,1297,11645,174,13995586,83460,167691408
5/3/2022,Hungary,1903200,,46266,,1808061,,48873,40,197931,4812,11355462,1180957,9615474
5/3/2022,Slovakia,1782607,765,19938,7,1746031,690,16638,70,326217,3649,7099765,1299257,5464480
5/3/2022,Jordan,1694216,,14048,,1678941,,1227,124,163086,1352,16670254,1604689,10388461
5/3/2022,Georgia,1655221,,16811,,1637293,,1117,,416391,4229,16920079,4256454,3975158
5/3/2022,Pakistan,1528564,46,30372,,1494141,,4051,110,6683,133,28202655,123297,228737931
5/3/2022,Ireland,1517112,,7087,,1461810,,48215,41,301092,1407,12063637,2394195,5038702
5/3/2022,Norway,1426491,,2932,,,,,20,259418,533,11002430,2000877,5498803
5/3/2022,Kazakhstan,1305551,3,13660,,1291101,12,790,24,68041,712,11575012,603254,19187625
5/3/2022,Hong Kong,1204793,,9318,,,,,5,158353,1225,44972952,5911063,7608268
5/3/2022,Singapore,1200976,,1338,,1140531,,59107,6,202371,225,23767171,4004897,5934528
5/3/2022,Morocco,1164984,,16069,,1148556,,359,293,30892,426,11237010,297977,37710997
5/3/2022,Bulgaria,1157199,,36920,,978533,,141746,77,168866,5388,9855728,1438212,6852765
5/3/2022,Croatia,1123029,,15843,,1102510,,4676,15,276679,3903,4790822,1180309,4058956
5/3/2022,Cuba,1103286,,8527,,1093878,,881,23,97515,754,12920253,1141974,11313967
5/3/2022,Lebanon,1097044,,10387,,1081770,,4887,186,162056,1534,4795578,708406,6769529
5/3/2022,Lithuania,1058779,234,9108,2,1026020,1219,23651,30,399114,3433,8255055,3111799,2652824
5/3/2022,Tunisia,1040193,,28550,,,,,29,86360,2370,4572976,379661,12044884
5/3/2022,Finland,1023013,,3939,,46000,,973074,24,184112,709,10720282,1929334,5556468
5/3/2022,Slovenia,1010785,,6595,,991301,,12889,22,486080,3171,2646952,1272903,2079461
5/3/2022,Belarus,980828,,6951,,928536,,45341,,103861,736,13171246,1394722,9443636
5/3/2022,Nepal,978836,,11951,,966674,,211,,32524,397,5642144,187475,30095444
5/3/2022,New Zealand,952697,9269,731,18,895772,6452,56194,,190459,146,7083851,1416175,5002100
5/3/2022,Bolivia,905074,,21923,,859142,,24009,220,75648,1832,2699040,225591,11964333
5/3/2022,UAE,899033,,2302,,882591,,14140,,88934,228,156338294,15465208,10109033
5/3/2022,Uruguay,895775,,7197,,886654,,1924,18,256246,2059,6091188,1742452,3495757
5/3/2022,Ecuador,869696,,35598,,,,,759,47962,1963,2470170,136224,18133173
5/3/2022,Costa Rica,852074,,8405,,832853,,10816,45,164518,1623,4291131,828527,5179229
5/3/2022,Guatemala,846632,,17613,,826812,,2207,5,45710,951,4466318,241139,18521789
5/3/2022,Latvia,823110,384,5777,7,809733,,7600,8,445392,3126,7186387,3888618,1848057
5/3/2022,Azerbaijan,792579,,9709,,782786,,84,,76902,942,6819005,661629,10306390
5/3/2022,Panama,777658,,8185,,763170,,6303,8,175187,1844,5883163,1325328,4439024
5/3/2022,Saudi Arabia,754238,,9093,,741906,,3239,49,21065,254,41912766,1170560,35805734
5/3/2022,Sri Lanka,663408,,16505,,646129,,774,,30745,765,6486117,300596,21577526
5/3/2022,Paraguay,649455,,18870,,624673,,5912,2,89054,2587,2623300,359709,7292833
5/3/2022,Kuwait,631409,,2555,,628090,,764,8,143956,583,8007805,1825717,4386115
5/3/2022,Myanmar,612914,,19434,,591847,,1633,,11128,353,7970408,144713,55077194
5/3/2022,Palestine,581940,,5353,,576242,,345,17,109422,1007,3078533,578856,5318304
5/3/2022,Dominican Republic,579443,,4376,,574726,,341,1,52453,396,3279736,296891,11046946
5/3/2022,Estonia,572193,,2539,,511039,,58615,3,430814,1912,3326696,2504727,1328167
5/3/2022,Bahrain,569370,,1476,,564735,,3159,1,314620,816,9727349,5375093,1809708
5/3/2022,Venezuela,522514,,5709,,515728,,1077,230,18471,202,3359014,118741,28288539
5/3/2022,Moldova,516986,,11489,,504142,,1355,49,128706,2860,3216305,800711,4016810
5/3/2022,Egypt,515645,,24613,,442182,,48850,122,4871,232,3693367,34888,105865008
5/3/2022,Libya,501904,,6430,,490973,,4501,101,71271,913,2477219,351766,7042237
5/3/2022,Cyprus,474267,,1020,,124370,,348877,60,387650,834,9477138,7746304,1223440
5/3/2022,Ethiopia,470587,,7510,,455391,,7686,11,3916,62,47913653,398711,120171463
5/3/2022,Mongolia,469885,,2179,,313256,,154450,192,139231,646,4030048,1194135,3374868
5/3/2022,Honduras,423179,,10893,,132318,,279968,105,41517,1069,1263329,123943,10192790
5/3/2022,Armenia,422874,,8622,,412019,16,2233,,142220,2900,3057702,1028360,2973377
5/3/2022,Oman,389126,,4258,,384243,,625,4,72814,797,25000000,4678022,5344139
5/3/2022,Bosnia and Herzegovina,377087,,15765,,192218,,169104,,116260,4861,1758191,542068,3243488
5/3/2022,Réunion,374295,,742,,355605,,17948,10,412672,818,1603660,1768087,907003
5/3/2022,Qatar,364728,,677,,363516,,535,3,129898,241,3447199,1227720,2807805
5/3/2022,Kenya,323792,,5649,,318002,,141,,5788,101,3602311,64399,55937629
5/3/2022,Zambia,319755,,3976,,315266,,513,1,16546,206,3429405,177456,19325435
5/3/2022,North Macedonia,309769,,9280,,299865,,624,,148697,4455,2022649,970925,2083218
5/3/2022,Botswana,305859,,2688,,303026,,145,1,125430,1102,2026898,831215,2438477
5/3/2022,Albania,275177,,3496,,271306,,375,2,95812,1217,1807808,629449,2872048
5/3/2022,Algeria,265782,,6875,,178358,,80549,6,5867,152,230861,5096,45299522
5/3/2022,Nigeria,255753,,3143,,249911,,2699,11,1187,15,5075820,23556,215483403
5/3/2022,Zimbabwe,247935,,5470,,241850,,615,12,16249,358,2259285,148065,15258752
5/3/2022,Uzbekistan,238628,1,1637,,236746,10,245,23,6946,48,1377915,40106,34356605
5/3/2022,Luxembourg,237856,,1064,,227197,,9595,3,368993,1651,4227288,6557920,644608
5/3/2022,Montenegro,235338,,2715,,231918,,705,6,374616,4322,2454364,3906910,628211
5/3/2022,Mozambique,225387,,2201,,223138,,48,13,6860,67,1313728,39984,32856704
5/3/2022,Laos,207867,153,745,1,7660,,199462,,27832,100,1232128,164972,7468707
5/3/2022,Kyrgyzstan,200993,,2991,,196405,,1597,131,29905,445,1907195,283762,6721105
5/3/2022,Iceland,185579,,119,,75685,,109775,,537451,345,1953616,5657817,345295
5/3/2022,Maldives,179171,,298,,163687,,15186,25,321119,534,2213831,3967731,557959
5/3/2022,Afghanistan,178901,,7683,,161896,,9322,1124,4414,190,944738,23309,40531821
5/3/2022,Taiwan,173942,23139,876,5,28721,929,144345,,7279,37,14936942,625091,23895647
5/3/2022,Uganda,164069,,3596,,100205,,60268,2,3391,74,2612795,54003,48382232
5/3/2022,El Salvador,162089,,4128,,150662,,7299,8,24761,631,1950448,297956,6546087
5/3/2022,Ghana,161204,,1445,,159712,,47,1,4997,45,2437331,75554,32259308
5/3/2022,Namibia,158811,,4025,,153662,,1124,,60498,1533,1007690,383870,2625079
5/3/2022,Martinique,153253,,926,,104,,152223,8,408966,2471,828928,2212050,374733
5/3/2022,Trinidad and Tobago,148630,,3833,,136167,,8630,18,105578,2723,708367,503180,1407780
5/3/2022,Brunei ,141911,,218,,141022,,671,1,318799,490,717784,1612480,445143
5/3/2022,Guadeloupe,140130,,854,,2250,,137026,19,350107,2134,938039,2343639,400249
5/3/2022,Cambodia,136257,3,3056,,133144,28,57,,7949,178,2953579,172298,17142279
